from_station,to_station,mileage,train_direction
Weifang Railway Station,Jinan Railway Station,210,up
Jiashannan Railway Station,Songjiangnan Railway Station,36,up
Hefei Railway Station,Huainannan Railway Station,84,up
Huainannan Railway Station,Fuyangxi Railway Station,136,up
Taiyuannan Railway Station,Jiexiudong Railway Station,111,up
Jiexiudong Railway Station,Huozhoudong Railway Station,58,up
Huozhoudong Railway Station,Linfenxi Railway Station,64,up
Linfenxi Railway Station,Wenxixi Railway Station,91,up
Wenxixi Railway Station,Yunchengbei Railway Station,32,up
Yunchengbei Railway Station,Linfenxi Railway Station,123,up
Linfenxi Railway Station,Jiexiudong Railway Station,122,up
Jiexiudong Railway Station,Taiyuannan Railway Station,111,up
Taiyuannan Railway Station,Shijiazhuang Railway Station,232,up
Zhengzhoudong Railway Station,Fuyangxi Railway Station,317,up
Fuyangxi Railway Station,Hefei Railway Station,220,up
Fengtainan Railway Station,Fuyangxi Railway Station,94,up
Fuyangxi Railway Station,Fugounan Railway Station,191,up
Fugounan Railway Station,Zhengzhoudong Railway Station,126,up
Wuyibei Railway Station,Yiwu Railway Station,64,up
Jinhuanan Railway Station,Yongkangnan Railway Station,33,up
Yongkangnan Railway Station,Lishui Railway Station,50,up
Qinan Railway Station,Tongwei Railway Station,56,up
Dingxibei Railway Station,Tianshuinan Railway Station,175,up
Qishan Railway Station,Xianyangqindu Railway Station,100,up
Xianbei Railway Station,Hanzhong Railway Station,242,up
Guangyuan Railway Station,Jiangyoubei Railway Station,89,up
Jiangyoubei Railway Station,Mianyang Railway Station,76,up
Chengdudong Railway Station,Jianyangnan Railway Station,53,up
Jianyangnan Railway Station,Ziyangbei Railway Station,30,up
Ziyangbei Railway Station,Dazunan Railway Station,140,up
Dazunan Railway Station,Yongchuandong Railway Station,22,up
Minquanbei Railway Station,Yongchengbei Railway Station,139,up
Jianyangnan Railway Station,Neijiangbei Railway Station,100,down
Cangnan Railway Station,Wenzhounan Railway Station,57,up
Wenzhounan Railway Station,Lishui Railway Station,90,up
Xinyubei Railway Station,Changshanan Railway Station,215,up
Zhongqingxi Railway Station,Neijiangbei Railway Station,149,up
Xinyangdong Railway Station,Ruichangxi Railway Station,382,down
Jinhuanan Railway Station,Jinyunxi Railway Station,211,down
Ruichangxi Railway Station,Xinyangdong Railway Station,382,up
Jinan Railway Station,Qingzhoushi Railway Station,153,down
Nanjingnan Railway Station,Huzhou Railway Station,185,down
Zhengzhou Railway Station,Zhengzhouxi Railway Station,24,down
Lingbaoxi Railway Station,Minchinan Railway Station,106,up
Xuzhoudong Railway Station,Huaibei Railway Station,77,down
Zhengzhouxi Railway Station,Gongyinan Railway Station,51,down
Minchinan Railway Station,Weinanbei Railway Station,252,down
Yanglingnan Railway Station,Qishan Railway Station,41,down
Qinan Railway Station,Lanzhouxi Railway Station,229,down
Sanmenxianan Railway Station,Gongyinan Railway Station,173,up
Gongyinan Railway Station,Zhengzhouxi Railway Station,51,up
Lanzhouxi Railway Station,Tianshuinan Railway Station,269,up
Huaibei Railway Station,Xuzhoudong Railway Station,77,up
Enshi Railway Station,Jianshi Railway Station,35,up
Jianshi Railway Station,Badong Railway Station,66,up
Badong Railway Station,Yichangdong Railway Station,113,up
Hankou Railway Station,Xinyangdong Railway Station,203,up
Ezhou Railway Station,Yangxin Railway Station,76,down
Yangxin Railway Station,Yongxiu Railway Station,148,down
Nanchangxi Railway Station,Yongxiu Railway Station,53,up
Yongxiu Railway Station,Gongqingcheng Railway Station,26,up
Yangxin Railway Station,Ruichangxi Railway Station,51,down
Ruichangxi Railway Station,Lushan Railway Station,27,down
Gongqingcheng Railway Station,Yongxiu Railway Station,26,down
Nanchangxi Railway Station,Yiyang Railway Station,190,down
Jinhuanan Railway Station,Quzhou Railway Station,91,up
Xinyangdong Railway Station,Lushan Railway Station,409,down
Lushan Railway Station,Yongxiu Railway Station,70,down
Gongqingcheng Railway Station,Dean Railway Station,8,up
Dean Railway Station,Lushan Railway Station,36,up
Lushan Railway Station,Ruichangxi Railway Station,27,up
Wufushan Railway Station,Wuyishanbei Railway Station,76,down
Shamenbei Railway Station,Xianyou Railway Station,116,up
Chuzhou Railway Station,Dingyuan Railway Station,62,up
Shijiazhuang Railway Station,Xinjinan Railway Station,77,up
Gaomibei Railway Station,Jimobei Railway Station,44,up
Jimobei Railway Station,Xiagezhuang Railway Station,28,up
Weihai Railway Station,Yantainan Railway Station,73,up
Yantainan Railway Station,Taocunbei Railway Station,36,up
Taocunbei Railway Station,Laiyang Railway Station,50,up
Laiyang Railway Station,Gaomibei Railway Station,135,up
Weifangbei Railway Station,Zibobei Railway Station,108,up
Changshanan Railway Station,Zhumadianxi Railway Station,719,up
Dezhoudong Railway Station,Jingzhou Railway Station,46,down
Jingzhou Railway Station,Hengshuibei Railway Station,44,down
Dezhoudong Railway Station,Yuchengdong Railway Station,43,down
Gaomibei Railway Station,Qingdaoxi Railway Station,102,down
Rizhaoxi Railway Station,Ganyu Railway Station,65,down
Lianyungang Railway Station,Xiangshuixian Railway Station,80,down
Xiangshuixian Railway Station,Binhaigang Railway Station,22,down
Binhaigang Railway Station,Funingdong Railway Station,31,down
Funingdong Railway Station,Sheyang Railway Station,15,down
Sheyang Railway Station,Yancheng Railway Station,38,down
Beijingnan Railway Station,Qingdaobei Railway Station,804,down
Yancheng Railway Station,Sheyang Railway Station,38,up
Sheyang Railway Station,Funingdong Railway Station,15,up
Funingdong Railway Station,Binhaigang Railway Station,31,up
Binhaigang Railway Station,Xiangshuixian Railway Station,22,up
Xiangshuixian Railway Station,Lianyungang Railway Station,80,up
Rizhaoxi Railway Station,Dongjiakou Railway Station,44,up
Dongjiakou Railway Station,Qingdaoxi Railway Station,35,up
Qingdaoxi Railway Station,Gaomibei Railway Station,95,up
Jinandong Railway Station,Yuchengdong Railway Station,59,up
Yongzhou Railway Station,Qidong Railway Station,62,up
Zhumadianxi Railway Station,Zhengzhoudong Railway Station,219,up
Xuchangdong Railway Station,Zhumadianxi Railway Station,128,up
Quanzhounan Railway Station,Guilinbei Railway Station,109,up
Qingdaobei Railway Station,Beijingnan Railway Station,804,up
Gaomibei Railway Station,Jiaozhoubei Railway Station,28,up
Jiaozhoubei Railway Station,Qingdaobei Railway Station,27,up
Weifangbei Railway Station,Linzibei Railway Station,78,up
Jinandong Railway Station,Qihe Railway Station,30,up
Qihe Railway Station,Pingyuandong Railway Station,48,up
Hengshuibei Railway Station,Xinjinan Railway Station,17,up
Xinjinan Railway Station,Gaochengnan Railway Station,33,up
Gaochengnan Railway Station,Shijiazhuang Railway Station,100,up
Pingyuandong Railway Station,Qihe Railway Station,48,up
Qihe Railway Station,Jinandong Railway Station,30,up
Gaomibei Railway Station,Haiyangbei Railway Station,141,up
Haiyangbei Railway Station,Yantainan Railway Station,80,up
Weihai Railway Station,Weihaibei Railway Station,13,up
Weihaibei Railway Station,Yantainan Railway Station,60,up
Laiyang Railway Station,Jimobei Railway Station,70,up
Jimobei Railway Station,Weifangbei Railway Station,128,up
Jimobei Railway Station,Gaomibei Railway Station,65,up
Xinjinan Railway Station,Shijiazhuangdong Railway Station,55,up
Shijiazhuangdong Railway Station,Shijiazhuang Railway Station,18,up
Taiyuannan Railway Station,Jinzhong Railway Station,16,up
Jinzhong Railway Station,Qixiandong Railway Station,50,up
Qixiandong Railway Station,Huozhoudong Railway Station,103,up
Huozhoudong Railway Station,Hongdongxi Railway Station,44,up
Hongdongxi Railway Station,Linfenxi Railway Station,20,up
Linfenxi Railway Station,Houmaxi Railway Station,59,up
Houmaxi Railway Station,Yunchengbei Railway Station,64,up
Yunchengbei Railway Station,Houmaxi Railway Station,64,up
Houmaxi Railway Station,Pingyaogucheng Railway Station,199,up
Pingyaogucheng Railway Station,Taiyuannan Railway Station,93,up
Jinandong Railway Station,Zouping Railway Station,54,up
Zouping Railway Station,Zibobei Railway Station,28,up
Weifangbei Railway Station,Xiagezhuang Railway Station,156,up
Yantainan Railway Station,Weihaibei Railway Station,60,up
Weihaibei Railway Station,Weihai Railway Station,13,up
Zibobei Railway Station,Linzibei Railway Station,30,up
Linzibei Railway Station,Qingzhoushibei Railway Station,23,up
Weifangbei Railway Station,Jimobei Railway Station,112,up
Laiyang Railway Station,Taocunbei Railway Station,290,up
Taocunbei Railway Station,Yantainan Railway Station,204,up
Yantainan Railway Station,Weihai Railway Station,73,up
Yantainan Railway Station,Haiyangbei Railway Station,59,up
Haiyangbei Railway Station,Weifangbei Railway Station,225,up
Zouping Railway Station,Zhangqiubei Railway Station,24,up
Foping Railway Station,Afanggong Railway Station,118,up
Shijiazhuang Railway Station,Hengshuibei Railway Station,116,up
Weifangbei Railway Station,Yantai Railway Station,296,up
Yantai Railway Station,Taocunbei Railway Station,48,up
Laiyang Railway Station,Xiagezhuang Railway Station,42,up
Xiagezhuang Railway Station,Gaomibei Railway Station,93,up
Xinjinan Railway Station,Shijiazhuang Railway Station,73,up
Lingbaoxi Railway Station,Weinanbei Railway Station,146,up
Huyi Railway Station,Yangxianxi Railway Station,148,up
Qihe Railway Station,Yuchengdong Railway Station,89,up
Beijingnan Railway Station,Weifangbei Railway Station,600,down
Weifangbei Railway Station,Beijingnan Railway Station,665,up
Puanxian Railway Station,Panzhou Railway Station,31,down
Guiyangbei Railway Station,Kunmingnan Railway Station,463,down
Guiyangbei Railway Station,Tongrennan Railway Station,267,up
Xinhuanan Railway Station,Changshanan Railway Station,214,up
Kunmingnan Railway Station,Guiyangbei Railway Station,463,up
Qufudong Railway Station,Nanjingnan Railway Station,488,down
Fuyuanbei Railway Station,Puanxian Railway Station,63,up
Puanxian Railway Station,Anshunxi Railway Station,119,up
Tianjinnan Railway Station,Tianjinxi Railway Station,105,up
Guidingbei Railway Station,Guiyangdong Railway Station,50,down
Zunyi Railway Station,Ganshuidong Railway Station,129,down
Ganshuidong Railway Station,Zhongqingxi Railway Station,92,down
Rongchangbei Railway Station,Jianyangnan Railway Station,160,down
Jianyangnan Railway Station,Chengdudong Railway Station,262,down
Zhongqingxi Railway Station,Luohuangnan Railway Station,22,down
Luohuangnan Railway Station,Ganshuidong Railway Station,70,down
Beijingnan Railway Station,Shenyangbei Railway Station,786,down
Shenyangbei Railway Station,Beijingnan Railway Station,786,up
Beijingnan Railway Station,Tianjin Railway Station,120,down
Tianjin Railway Station,Shenyang Railway Station,666,down
Jinanxi Railway Station,Wuxidong Railway Station,804,down
Wuxidong Railway Station,Shanghai Railway Station,115,down
Sanmenxianan Railway Station,Weinanbei Railway Station,194,down
Mianyang Railway Station,Xindudong Railway Station,92,down
Xindudong Railway Station,Chengdudong Railway Station,21,down
Minchinan Railway Station,Sanmenxianan Railway Station,58,down
Jiangyoubei Railway Station,Guangyuan Railway Station,89,up
Guangyuan Railway Station,Ningqiangnan Railway Station,62,up
Zhengzhouxi Railway Station,Minchinan Railway Station,166,down
Huyi Railway Station,Foping Railway Station,95,down
Rongchangbei Railway Station,Chengdudong Railway Station,213,up
Lankaonan Railway Station,Minquanbei Railway Station,35,up
Hanzhong Railway Station,Ningqiangnan Railway Station,76,down
Ningqiangnan Railway Station,Guangyuan Railway Station,62,down
Chengdudong Railway Station,Dazunan Railway Station,223,down
Dazunan Railway Station,Bishan Railway Station,52,down
Bishan Railway Station,Zhongqingxi Railway Station,27,down
Hanzhong Railway Station,Yangxianxi Railway Station,49,up
Yangxianxi Railway Station,Xianbei Railway Station,193,up
Shenyang Railway Station,Tianjin Railway Station,666,up
Tianjin Railway Station,Beijingnan Railway Station,172,up
Deyang Railway Station,Jiangyoubei Railway Station,123,up
Xianbei Railway Station,Chenggubei Railway Station,214,down
Chengdudong Railway Station,Luojiangdong Railway Station,87,up
Luojiangdong Railway Station,Mianyang Railway Station,26,up
Xianbei Railway Station,Sanmenxianan Railway Station,257,up
Chengdudong Railway Station,Longchangbei Railway Station,179,down
Longchangbei Railway Station,Dazunan Railway Station,44,down
Zhongqingxi Railway Station,Dazunan Railway Station,79,up
Dazunan Railway Station,Neijiangbei Railway Station,70,up
Neijiangbei Railway Station,Ziyangbei Railway Station,70,up
Chenggubei Railway Station,Huyi Railway Station,53,up
Gongyinan Railway Station,Sanmenxianan Railway Station,173,down
Sanmenxianan Railway Station,Lingbaoxi Railway Station,48,down
Deyang Railway Station,Qingbaijiangdong Railway Station,34,down
Qingbaijiangdong Railway Station,Jiangyou Railway Station,120,up
Shanghai Railway Station,Suzhoubei Railway Station,88,up
Xuzhoudong Railway Station,Jinan Railway Station,289,up
Guangyuan Railway Station,Jianmenguan Railway Station,38,down
Jianmenguan Railway Station,Jiangyou Railway Station,88,down
Chengdudong Railway Station,Zhongqingxi Railway Station,80,down
Zhongqingxi Railway Station,Chengdudong Railway Station,302,up
Qingbaijiangdong Railway Station,Guanghanbei Railway Station,14,up
Guanghanbei Railway Station,Mianyang Railway Station,67,up
Mianyang Railway Station,Jianmenguan Railway Station,127,up
Yangxianxi Railway Station,Huyi Railway Station,74,up
Qingdao Railway Station,Weifangbei Railway Station,154,up
Weifang Railway Station,Jiaozhoubei Railway Station,120,up
Jiaozhoubei Railway Station,Qingdao Railway Station,63,up
Nanjingnan Railway Station,Beijingnan Railway Station,1023,up
Shangrao Railway Station,Jinxiannan Railway Station,183,up
Guiyangdong Railway Station,Bijie Railway Station,152,up
Bijie Railway Station,Changning Railway Station,185,up
Changning Railway Station,Yibinxi Railway Station,35,up
Yibinxi Railway Station,Guiyangdong Railway Station,372,down
Guiyangdong Railway Station,Huaihuanan Railway Station,364,down
Wuyibei Railway Station,Jinhua Railway Station,32,up
Yushannan Railway Station,Nanchangxi Railway Station,196,up
Guiyangdong Railway Station,Qianxi Railway Station,81,up
Qianxi Railway Station,Bijie Railway Station,71,up
Bijie Railway Station,Qianxi Railway Station,71,up
Qianxi Railway Station,Guiyangdong Railway Station,81,up
Lishui Railway Station,Wuyibei Railway Station,74,up
Jinan Railway Station,Taian Railway Station,62,up
Jiangshan Railway Station,Yingtanbei Railway Station,173,up
Ningbo Railway Station,Ninghai Railway Station,72,up
Hengyangdong Railway Station,Yongzhou Railway Station,135,up
Dongandong Railway Station,Guilinbei Railway Station,170,up
Nanning Railway Station,Nanningdong Railway Station,11,up
Guilinbei Railway Station,Dongandong Railway Station,170,up
Qiyang Railway Station,Hengyangdong Railway Station,102,up
Taizhou Railway Station,Wenling Railway Station,24,down
Wenling Railway Station,Qingtian Railway Station,139,down
Jinyunxi Railway Station,Wuyibei Railway Station,45,down
Jinhua Railway Station,Wuyibei Railway Station,32,up
Jinyunxi Railway Station,Wenling Railway Station,218,up
Ningbo Railway Station,Taizhou Railway Station,152,down
Shangrao Railway Station,Nanchang Railway Station,241,down
Quzhou Railway Station,Jinhuanan Railway Station,91,up
Lishui Railway Station,Taizhou Railway Station,213,up
Linhai Railway Station,Ningbo Railway Station,26,up
Jinyunxi Railway Station,Jinhuanan Railway Station,64,down
Guiyangbei Railway Station,Sansui Railway Station,219,up
Wuyibei Railway Station,Lishui Railway Station,74,up
Wenzhounan Railway Station,Yongjia Railway Station,18,up
Yongjia Railway Station,Yandangshan Railway Station,58,up
Yandangshan Railway Station,Taizhou Railway Station,47,up
Taizhou Railway Station,Sanmenxian Railway Station,46,up
Loudinan Railway Station,Shuangfengbei Railway Station,14,down
Shuangfengbei Railway Station,Shaodong Railway Station,44,down
Shaodong Railway Station,Shaoyang Railway Station,30,down
Shaoyang Railway Station,Shaodong Railway Station,30,up
Shaodong Railway Station,Shuangfengbei Railway Station,44,up
Shuangfengbei Railway Station,Loudinan Railway Station,13,up
Jinan Railway Station,Zaozhuang Railway Station,224,up
Rongchangbei Railway Station,Zhongqingxi Railway Station,89,down
Guiyangdong Railway Station,Tongrennan Railway Station,257,down
Nanchangxi Railway Station,Xingandong Railway Station,125,down
Xingandong Railway Station,Jianxi Railway Station,87,down
Xingguoxi Railway Station,Yudu Railway Station,65,down
Yudu Railway Station,Huichangbei Railway Station,42,down
Huichangbei Railway Station,Ruijin Railway Station,30,down
Ruijin Railway Station,Changtingnan Railway Station,34,down
Changtingnan Railway Station,Guanzhishan Railway Station,44,down
Guanzhishan Railway Station,Longyan Railway Station,148,down
Longyan Railway Station,Gutianhuizhi Railway Station,28,up
Gutianhuizhi Railway Station,Changtingnan Railway Station,83,up
Changtingnan Railway Station,Ganxianbei Railway Station,135,up
Ganxianbei Railway Station,Xingguoxi Railway Station,36,up
Jianxi Railway Station,Zhangshudong Railway Station,116,up
Zhangshudong Railway Station,Nanchangxi Railway Station,9,up
Zhijiang Railway Station,Guiyangdong Railway Station,498,up
Guiyangdong Railway Station,Zhongqingxi Railway Station,344,up
Zhongqingxi Railway Station,Zizhongbei Railway Station,178,up
Zizhongbei Railway Station,Jianyangnan Railway Station,12,up
Hangzhoudong Railway Station,Fuyang Railway Station,61,down
Fuyang Railway Station,Tonglu Railway Station,38,down
Jixibei Railway Station,Xixianbei Railway Station,23,down
Beijingnan Railway Station,Tangshan Railway Station,234,down
Tangshan Railway Station,Shenyang Railway Station,552,down
Shamenbei Railway Station,Longyan Railway Station,156,up
Longyan Railway Station,Yanshinan Railway Station,29,up
Yanshinan Railway Station,Sanming Railway Station,133,up
Sanming Railway Station,Nanpingshi Railway Station,182,up
Qiandaohu Railway Station,Tonglu Railway Station,70,up
Poyang Railway Station,Jiujiang Railway Station,182,down
Lushan Railway Station,Dean Railway Station,36,down
Yongxiu Railway Station,Nanchang Railway Station,20,down
Tonglu Railway Station,Jiande Railway Station,36,down
Yanpingxi Railway Station,Sanming Railway Station,65,down
Sanming Railway Station,Shuangyang Railway Station,75,down
Shuangyang Railway Station,Zhangpingxi Railway Station,35,down
Zhangpingxi Railway Station,Yanshinan Railway Station,23,down
Yanshinan Railway Station,Longyan Railway Station,32,down
Longyan Railway Station,Shamenbei Railway Station,17,down
Duchang Railway Station,Hukou Railway Station,34,down
Hukou Railway Station,Jiujiang Railway Station,93,down
Jiujiang Railway Station,Xinyangdong Railway Station,359,down
Tahexi Railway Station,Zhengzhou Railway Station,164,down
Zhengzhou Railway Station,Luoyanglongmen Railway Station,262,down
Changchun Railway Station,Shenyangbei Railway Station,310,up
Shenyangbei Railway Station,Tangshan Railway Station,552,up
Tangshan Railway Station,Beijingnan Railway Station,241,up
Zhengzhouxi Railway Station,Zhengzhou Railway Station,24,up
Zhengzhou Railway Station,Xuchangdong Railway Station,100,up
Xinyangdong Railway Station,Jiujiang Railway Station,422,up
Tonglu Railway Station,Fuyang Railway Station,38,up
Jiujiang Railway Station,Fenglin Railway Station,65,down
Fenglin Railway Station,Yangxin Railway Station,26,down
Yangxin Railway Station,Dayebei Railway Station,37,down
Dayebei Railway Station,Wuhan Railway Station,95,down
Xinyangdong Railway Station,Tahexi Railway Station,182,down
Huangshanbei Railway Station,Jingde Railway Station,69,down
Jingde Railway Station,Jingxian Railway Station,43,down
Jingxian Railway Station,Nanling Railway Station,21,down
Huainannan Railway Station,Yingshangbei Railway Station,81,down
Fuyangxi Railway Station,Linquan Railway Station,245,down
Linquan Railway Station,Shenqiubei Railway Station,54,down
Fugounan Railway Station,Xihua Railway Station,31,down
Xihua Railway Station,Huaiyangnan Railway Station,43,down
Huaiyangnan Railway Station,Jieshounan Railway Station,52,down
Tonglingbei Railway Station,Jingxian Railway Station,55,down
Jingxian Railway Station,Jingde Railway Station,155,down
Jingde Railway Station,Huangshanbei Railway Station,69,down
Tangshan Railway Station,Shenyangbei Railway Station,552,down
Shenyangbei Railway Station,Changchun Railway Station,317,down
Jinanxi Railway Station,Hefeinan Railway Station,594,down
Quanzhou Railway Station,Fuzhou Railway Station,174,up
Huainandong Railway Station,Hefeinan Railway Station,119,up
Tonglingbei Railway Station,Jixibei Railway Station,126,up
Fuzhou Railway Station,Quanzhou Railway Station,174,up
Shamenbei Railway Station,Shamen Railway Station,31,up
Hefeinan Railway Station,Bangbunan Railway Station,132,up
Bangbunan Railway Station,Jinanxi Railway Station,442,up
Hangzhou Railway Station,Deqing Railway Station,38,up
Qingdao Railway Station,Jiaozhoubei Railway Station,63,up
Beijingxi Railway Station,Shijiazhuang Railway Station,281,down
Shijiazhuang Railway Station,Zhengzhoudong Railway Station,412,down
Zhengzhoudong Railway Station,Xianbei Railway Station,523,down
Jinzhounan Railway Station,Taian Railway Station,124,up
Taian Railway Station,Shenyangbei Railway Station,99,up
Tianjinxi Railway Station,Shijiazhuang Railway Station,293,up
Shijiazhuang Railway Station,Taiyuannan Railway Station,232,up
Binhaixi Railway Station,Tianjin Railway Station,38,up
Shengfang Railway Station,Baigou Railway Station,60,up
Baiyangdian Railway Station,Dingzhoudong Railway Station,97,down
Shijiazhuang Railway Station,Baiyangdian Railway Station,177,up
Taiyuannan Railway Station,Taiguxi Railway Station,47,up
Taiguxi Railway Station,Pingyaogucheng Railway Station,46,up
Pingyaogucheng Railway Station,Huozhoudong Railway Station,76,up
Yunchengbei Railway Station,Wenxixi Railway Station,32,up
Wenxixi Railway Station,Houmaxi Railway Station,32,up
Houmaxi Railway Station,Linfenxi Railway Station,59,up
Linfenxi Railway Station,Huozhoudong Railway Station,64,up
Huozhoudong Railway Station,Jiexiudong Railway Station,58,up
Hengshuibei Railway Station,Jingzhou Railway Station,44,up
Jingzhou Railway Station,Dezhoudong Railway Station,45,up
Dalianbei Railway Station,Boyuquan Railway Station,149,down
Boyuquan Railway Station,Yingkoudong Railway Station,57,down
Jiaozhoubei Railway Station,Qingdaoxi Railway Station,67,down
Weifangbei Railway Station,Qingdaoxi Railway Station,158,down
Ganyu Railway Station,Rizhaoxi Railway Station,65,up
Qingdaoxi Railway Station,Jiaozhoubei Railway Station,67,up
Xuzhoudong Railway Station,Huainandong Railway Station,199,down
Hefeinan Railway Station,Jinanxi Railway Station,574,up
Dezhoudong Railway Station,Qihe Railway Station,66,up
Zouping Railway Station,Weifangbei Railway Station,136,up
Weihai Railway Station,Rongcheng Railway Station,41,up
Rongcheng Railway Station,Weihai Railway Station,41,up
Laiyang Railway Station,Weifangbei Railway Station,198,up
Weifangbei Railway Station,Jinandong Railway Station,236,up
Xianbei Railway Station,Zhengzhoudong Railway Station,519,up
Nanling Railway Station,Wuwei Railway Station,28,up
Jingde Railway Station,Tonglingbei Railway Station,98,up
Hefeinan Railway Station,Suzhoudong Railway Station,240,up
Suzhoudong Railway Station,Tengzhoudong Railway Station,169,up
Qufudong Railway Station,Jinan Railway Station,132,up
Zhengzhoudong Railway Station,Zhumadianxi Railway Station,219,up
Changshanan Railway Station,Leiyangxi Railway Station,232,up
Shaoguan Railway Station,Qingyuan Railway Station,390,up
Zhumadianxi Railway Station,Changshanan Railway Station,679,down
Hefeinan Railway Station,Jingxian Railway Station,194,down
Huangshanbei Railway Station,Shangrao Railway Station,162,down
Changshanan Railway Station,Chibibei Railway Station,234,up
Wuhan Railway Station,Tahexi Railway Station,381,up
Zhoukoudong Railway Station,Fuyangxi Railway Station,138,down
Nanjingnan Railway Station,Yixing Railway Station,129,up
Changxing Railway Station,Hangzhou Railway Station,94,up
Guangyuan Railway Station,Cangxi Railway Station,82,down
Cangxi Railway Station,Langzhong Railway Station,24,down
Langzhong Railway Station,Nanbu Railway Station,21,down
Nanbu Railway Station,Nanchongbei Railway Station,61,down
Nanchongbei Railway Station,Wusheng Railway Station,57,down
Wusheng Railway Station,Hechuan Railway Station,52,down
Hechuan Railway Station,Zhongqingxi Railway Station,61,down
Zunyi Railway Station,Guiyangbei Railway Station,126,down
Panzhou Railway Station,Puanxian Railway Station,31,up
Guiyangbei Railway Station,Xifeng Railway Station,55,up
Tongzidong Railway Station,Ganshuidong Railway Station,76,up
Ganshuidong Railway Station,Luohuangnan Railway Station,70,up
Luohuangnan Railway Station,Zhongqingxi Railway Station,22,up
Zhongqingxi Railway Station,Nanchongbei Railway Station,170,up
Nanchongbei Railway Station,Langzhong Railway Station,82,up
Langzhong Railway Station,Cangxi Railway Station,24,up
Cangxi Railway Station,Guangyuan Railway Station,82,up
Zizhongbei Railway Station,Zhongqingxi Railway Station,44,down
Qijiangdong Railway Station,Zunyinan Railway Station,187,down
Zunyinan Railway Station,Guiyangdong Railway Station,96,down
Guiyangdong Railway Station,Duyundong Railway Station,116,down
Duyundong Railway Station,Congjiang Railway Station,158,down
Congjiang Railway Station,Sanjiangnan Railway Station,52,down
Sanjiangnan Railway Station,Guilinbei Railway Station,93,down
Nanningdong Railway Station,Binyang Railway Station,83,up
Binyang Railway Station,Laibinbei Railway Station,18,up
Guilinbei Railway Station,Duyundong Railway Station,303,up
Duyundong Railway Station,Guiyangdong Railway Station,116,up
Zhongqingxi Railway Station,Longchangbei Railway Station,123,up
Longchangbei Railway Station,Zizhongbei Railway Station,55,up
Chenggubei Railway Station,Afanggong Railway Station,192,up
Zhongqingxi Railway Station,Guiyangbei Railway Station,347,down
Guiyangbei Railway Station,Fuyuanbei Railway Station,283,down
Fuyuanbei Railway Station,Kunmingnan Railway Station,180,down
Guiyangbei Railway Station,Zhongqingxi Railway Station,347,up
Zhongqingxi Railway Station,Bishan Railway Station,27,up
Bishan Railway Station,Rongchangbei Railway Station,62,up
Guiyangbei Railway Station,Zunyi Railway Station,126,up
Zunyi Railway Station,Qijiangdong Railway Station,160,up
Qijiangdong Railway Station,Luohuangnan Railway Station,39,up
Zhongqingxi Railway Station,Tongzidong Railway Station,168,down
Tongzidong Railway Station,Zunyinan Railway Station,80,down
Zunyinan Railway Station,Guiyangbei Railway Station,99,down
Guiyangbei Railway Station,Tongzidong Railway Station,179,up
Zhongqingxi Railway Station,Tongzibei Railway Station,138,down
Tongzibei Railway Station,Zunyi Railway Station,83,down
Guiyangbei Railway Station,Panzhou Railway Station,251,down
Guanling Railway Station,Pingbanan Railway Station,91,up
Pingbanan Railway Station,Guiyangbei Railway Station,55,up
Zunyi Railway Station,Loushanguannan Railway Station,30,up
Loushanguannan Railway Station,Ganshuidong Railway Station,99,up
Tongzidong Railway Station,Zunyi Railway Station,53,down
Xifeng Railway Station,Guiyangbei Railway Station,55,down
Guiyangbei Railway Station,Ganshuidong Railway Station,255,up
Kunmingnan Railway Station,Anshunxi Railway Station,362,up
Xiuwenxian Railway Station,Guiyangbei Railway Station,29,down
Qujingbei Railway Station,Puanxian Railway Station,115,up
Neijiangbei Railway Station,Longchangbei Railway Station,26,down
Longchangbei Railway Station,Yongchuandong Railway Station,44,down
Zhongqingxi Railway Station,Xifeng Railway Station,292,down
Puanxian Railway Station,Fuyuanbei Railway Station,63,down
Guiyangbei Railway Station,Zunyinan Railway Station,99,up
Zunyinan Railway Station,Zunyi Railway Station,27,up
Dazunan Railway Station,Longchangbei Railway Station,44,up
Zizhongbei Railway Station,Rongchangbei Railway Station,89,down
Loushanguannan Railway Station,Zhongqingxi Railway Station,191,up
Bishan Railway Station,Longchangbei Railway Station,96,up
Jianyangnan Railway Station,Zizhongbei Railway Station,71,down
Zizhongbei Railway Station,Bishan Railway Station,151,down
Suqian Railway Station,Huaiandong Railway Station,97,up
Lianshui Railway Station,Lianyungang Railway Station,108,up
Zunyi Railway Station,Luohuangnan Railway Station,199,up
Bishan Railway Station,Yongchuandong Railway Station,30,up
Zizhongbei Railway Station,Ziyangbei Railway Station,41,up
Neijiangbei Railway Station,Dazunan Railway Station,70,down
Dazunan Railway Station,Zhongqingxi Railway Station,79,down
Tongzidong Railway Station,Luohuangnan Railway Station,146,up
Longchangbei Railway Station,Jianyangnan Railway Station,126,up
Fuzhou Railway Station,Nanpingshi Railway Station,225,up
Huangshanbei Railway Station,Jingxian Railway Station,112,up
Jingxian Railway Station,Hefeinan Railway Station,194,up
Guilinbei Railway Station,Gongcheng Railway Station,101,down
Gongcheng Railway Station,Hezhou Railway Station,84,down
Hezhou Railway Station,Huaiji Railway Station,90,down
Huaiji Railway Station,Guangzhounan Railway Station,171,down
