from_station,to_station,mileage,train_direction
Tahexi Railway Station,Xuchangdong Railway Station,64,up
Xuchangdong Railway Station,Zhengzhoudong Railway Station,51,up
Zhengzhoudong Railway Station,Xinxiangdong Railway Station,67,up
Xinxiangdong Railway Station,Hebidong Railway Station,64,up
Hebidong Railway Station,Anyangdong Railway Station,86,up
Anyangdong Railway Station,Shijiazhuang Railway Station,195,up
Shijiazhuang Railway Station,Dingzhoudong Railway Station,80,up
Dingzhoudong Railway Station,Baodingdong Railway Station,62,up
Baodingdong Railway Station,Baiyangdian Railway Station,35,up
Baiyangdian Railway Station,Baigou Railway Station,19,up
Baigou Railway Station,Shengfang Railway Station,60,up
Shengfang Railway Station,Tianjinxi Railway Station,36,up
Tianjinxi Railway Station,Binhaibei Railway Station,65,up
Binhaibei Railway Station,Tangshan Railway Station,54,up
Shanhaiguan Railway Station,Jinzhounan Railway Station,165,up
Jinzhounan Railway Station,Panjin Railway Station,98,up
Panjin Railway Station,Anshanxi Railway Station,105,up
Anshanxi Railway Station,Liaoyang Railway Station,30,up
Liaoyang Railway Station,Shenyang Railway Station,65,up
Shenyang Railway Station,Liaoyang Railway Station,65,up
Liaoyang Railway Station,Anshanxi Railway Station,30,up
Anshanxi Railway Station,Panjin Railway Station,105,up
Panjin Railway Station,Jinzhounan Railway Station,98,up
Tianjinxi Railway Station,Bazhouxi Railway Station,73,up
Bazhouxi Railway Station,Baodingdong Railway Station,77,up
Baodingdong Railway Station,Shijiazhuang Railway Station,142,up
Shijiazhuang Railway Station,Xingtaidong Railway Station,122,up
Xingtaidong Railway Station,Hebidong Railway Station,159,up
Hebidong Railway Station,Zhengzhoudong Railway Station,132,up
Zhengzhoudong Railway Station,Xuchangdong Railway Station,90,up
Xuchangdong Railway Station,Tahexi Railway Station,64,up
Tahexi Railway Station,Zhumadianxi Railway Station,64,up
Zhumadianxi Railway Station,Xinyangdong Railway Station,118,up
Xinyangdong Railway Station,Yueyangdong Railway Station,414,up
Qufudong Railway Station,Xuzhoudong Railway Station,157,down
Shenyangbei Railway Station,Panjinbei Railway Station,154,up
Panjinbei Railway Station,Jinzhounan Railway Station,69,up
Jinzhounan Railway Station,Huludaobei Railway Station,43,up
Huludaobei Railway Station,Qinhuangdao Railway Station,138,up
Taian Railway Station,Xuzhoudong Railway Station,227,up
Nanjingnan Railway Station,Liyang Railway Station,98,up
Liyang Railway Station,Yixing Railway Station,31,up
Yixing Railway Station,Huzhou Railway Station,56,up
Huzhou Railway Station,Hangzhoudong Railway Station,72,up
Hangzhoudong Railway Station,Shaoxingbei Railway Station,42,up
Shaoxingbei Railway Station,Ningbo Railway Station,113,up
Ningbo Railway Station,Shaoxingbei Railway Station,112,up
Shaoxingbei Railway Station,Hangzhoudong Railway Station,43,up
Hangzhoudong Railway Station,Huzhou Railway Station,71,up
Huzhou Railway Station,Yixing Railway Station,56,up
Yixing Railway Station,Liyang Railway Station,31,up
Liyang Railway Station,Nanjingnan Railway Station,98,up
Tengzhoudong Railway Station,Taian Railway Station,126,up
Dezhoudong Railway Station,Tianjinxi Railway Station,209,up
Qinhuangdao Railway Station,Huludaobei Railway Station,138,up
Huludaobei Railway Station,Jinzhounan Railway Station,43,up
Jinzhounan Railway Station,Panjinbei Railway Station,69,up
Panjinbei Railway Station,Shenyangbei Railway Station,154,up
Shenyangbei Railway Station,Shenyang Railway Station,5,up
Anshanxi Railway Station,Haichengxi Railway Station,39,up
Haichengxi Railway Station,Panjin Railway Station,66,up
Panjin Railway Station,Shanhaiguan Railway Station,263,up
Qinhuangdao Railway Station,Beidaihe Railway Station,59,up
Beidaihe Railway Station,Luanhe Railway Station,145,up
Luanhe Railway Station,Tangshan Railway Station,61,up
Xuzhoudong Railway Station,Dingyuan Railway Station,210,up
Zhenjiangnan Railway Station,Danyangbei Railway Station,32,up
Danyangbei Railway Station,Changzhoubei Railway Station,33,up
Shanghaihongqiao Railway Station,Jiaxingnan Railway Station,84,up
Jiaxingnan Railway Station,Hangzhoudong Railway Station,203,up
Hangzhoudong Railway Station,Zhuji Railway Station,344,up
Zhuji Railway Station,Yiwu Railway Station,43,up
Yiwu Railway Station,Jinhuanan Railway Station,45,up
Jinhuanan Railway Station,Wuyibei Railway Station,19,up
Wuyibei Railway Station,Yongkangnan Railway Station,24,up
Yongkangnan Railway Station,Jinyunxi Railway Station,21,up
Jinyunxi Railway Station,Lishui Railway Station,29,up
Lishui Railway Station,Qingtian Railway Station,50,up
Qingtian Railway Station,Wenzhounan Railway Station,40,up
Wenzhounan Railway Station,Cangnan Railway Station,57,up
Qingtian Railway Station,Lishui Railway Station,147,up
Lishui Railway Station,Jinyunxi Railway Station,29,up
Jinyunxi Railway Station,Yongkangnan Railway Station,21,up
Yongkangnan Railway Station,Jinhuanan Railway Station,43,up
Jinhuanan Railway Station,Yiwu Railway Station,45,up
Yiwu Railway Station,Hangzhoudong Railway Station,12,up
Hangzhoudong Railway Station,Hainingxi Railway Station,123,up
Hainingxi Railway Station,Jiaxingnan Railway Station,49,up
Jiaxingnan Railway Station,Jiashannan Railway Station,80,up
Jiashannan Railway Station,Shanghaihongqiao Railway Station,67,up
Panjin Railway Station,Haichengxi Railway Station,66,up
Haichengxi Railway Station,Anshanxi Railway Station,39,up
Shenyang Railway Station,Shenyangbei Railway Station,5,up
Qufudong Railway Station,Taian Railway Station,70,up
Dandong Railway Station,Fengchengdong Railway Station,45,up
Fengchengdong Railway Station,Benxi Railway Station,102,up
Benxi Railway Station,Shenyangnan Railway Station,61,up
Shenyangnan Railway Station,Shenyang Railway Station,15,up
Shenyang Railway Station,Panjinbei Railway Station,154,up
Panjinbei Railway Station,Huludaobei Railway Station,111,up
Chuzhou Railway Station,Suzhoudong Railway Station,204,up
Panjinbei Railway Station,Shenyang Railway Station,153,up
Shenyang Railway Station,Shenyangnan Railway Station,16,up
Shenyangnan Railway Station,Benxi Railway Station,61,up
Benxi Railway Station,Fengchengdong Railway Station,102,up
Fengchengdong Railway Station,Dandong Railway Station,45,up
Jilin Railway Station,Changchun Railway Station,111,up
Changchun Railway Station,Sipingdong Railway Station,130,up
Sipingdong Railway Station,Changtuxi Railway Station,51,up
Changtuxi Railway Station,Kaiyuanxi Railway Station,28,up
Jinzhounan Railway Station,Qinhuangdao Railway Station,165,up
Binhaibei Railway Station,Junliangchengbei Railway Station,40,up
Junliangchengbei Railway Station,Tianjinxi Railway Station,25,up
Sipingdong Railway Station,Gongzhulingnan Railway Station,55,up
Gongzhulingnan Railway Station,Changchun Railway Station,130,up
Changchun Railway Station,Jilin Railway Station,111,up
Jiamusi Railway Station,Yilan Railway Station,87,up
Yilan Railway Station,Fangzheng Railway Station,82,up
Fangzheng Railway Station,Shenglizhen Railway Station,65,up
Shenglizhen Railway Station,Binzhou Railway Station,42,up
Binzhou Railway Station,Haerbin Railway Station,67,up
Haerbin Railway Station,Haerbinxi Railway Station,7,up
Haerbinxi Railway Station,Dehuixi Railway Station,156,up
Changtuxi Railway Station,Shenyangbei Railway Station,129,up
Shenyangbei Railway Station,Jinzhounan Railway Station,223,up
Qinhuangdao Railway Station,Luanhe Railway Station,86,up
Tangshan Railway Station,Binhaixi Railway Station,76,up
Binhaixi Railway Station,Tianjinxi Railway Station,43,up
Tianjinxi Railway Station,Shengfang Railway Station,36,up
Shengfang Railway Station,Bazhouxi Railway Station,37,up
Bazhouxi Railway Station,Baiyangdian Railway Station,42,up
Baiyangdian Railway Station,Baodingdong Railway Station,35,up
Baodingdong Railway Station,Dingzhoudong Railway Station,62,up
Dingzhoudong Railway Station,Shijiazhuang Railway Station,80,up
Zaozhuang Railway Station,Nanjingnan Railway Station,396,down
Changzhoubei Railway Station,Kunshannan Railway Station,115,down
Shijiazhuang Railway Station,Baodingdong Railway Station,142,up
Baiyangdian Railway Station,Bazhouxi Railway Station,47,up
Bazhouxi Railway Station,Tianjinxi Railway Station,68,up
Shanhaiguan Railway Station,Huludaobei Railway Station,122,up
Huludaobei Railway Station,Panjinbei Railway Station,112,up
Panjinbei Railway Station,Liaozhong Railway Station,86,up
Liaozhong Railway Station,Shenyangbei Railway Station,68,up
Tielingxi Railway Station,Sipingdong Railway Station,126,up
Haerbinxi Railway Station,Haerbin Railway Station,7,up
Haerbin Railway Station,Binzhou Railway Station,67,up
Binzhou Railway Station,Fangzheng Railway Station,107,up
Fangzheng Railway Station,Yilan Railway Station,82,up
Yilan Railway Station,Jiamusi Railway Station,87,up
Taian Railway Station,Panjinbei Railway Station,55,up
Tianjinxi Railway Station,Jinanxi Railway Station,302,up
Shanhaiguan Railway Station,Suizhongbei Railway Station,63,up
Suizhongbei Railway Station,Shenyangbei Railway Station,325,up
Tianjinxi Railway Station,Tianjinnan Railway Station,18,up
Tianjinnan Railway Station,Cangzhouxi Railway Station,168,up
Jinan Railway Station,Weifang Railway Station,210,up
Weifang Railway Station,Qingdaobei Railway Station,168,up
Suizhongbei Railway Station,Huludaobei Railway Station,59,up
Dalianbei Railway Station,Yingkoudong Railway Station,206,down
Yingkoudong Railway Station,Panjin Railway Station,89,down
Suzhoudong Railway Station,Bangbunan Railway Station,88,down
Bangbunan Railway Station,Chuzhou Railway Station,116,down
Wuxidong Railway Station,Kunshannan Railway Station,58,down
Binhaixi Railway Station,Binhaibei Railway Station,22,up
Tangshan Railway Station,Shanhaiguan Railway Station,158,up
Huludaobei Railway Station,Panjin Railway Station,141,up
Panjin Railway Station,Yingkoudong Railway Station,89,up
Yingkoudong Railway Station,Boyuquan Railway Station,57,up
Boyuquan Railway Station,Dalianbei Railway Station,150,up
Shenyangbei Railway Station,Suizhongbei Railway Station,325,up
Tianjinxi Railway Station,Tianjin Railway Station,5,up
Tianjin Railway Station,Tangshan Railway Station,114,up
Jinzhounan Railway Station,Liaozhong Railway Station,155,up
Jinanxi Railway Station,Tengzhoudong Railway Station,185,down
Tengzhoudong Railway Station,Suzhoudong Railway Station,169,down
Suzhoudong Railway Station,Chuzhou Railway Station,204,down
Qiqihaernan Railway Station,Duerbote Railway Station,67,up
Duerbote Railway Station,Daqingdong Railway Station,64,up
Daqingdong Railway Station,Anda Railway Station,21,up
Anda Railway Station,Zhaodong Railway Station,65,up
Zhaodong Railway Station,Haerbin Railway Station,62,up
Changchunxi Railway Station,Tielingxi Railway Station,244,up
Shengfang Railway Station,Baiyangdian Railway Station,79,up
Xingtaidong Railway Station,Handandong Railway Station,53,up
Handandong Railway Station,Xinxiangdong Railway Station,170,up
Xinxiangdong Railway Station,Zhengzhoudong Railway Station,67,up
Zhengzhoudong Railway Station,Hebidong Railway Station,131,up
Hebidong Railway Station,Handandong Railway Station,106,up
Handandong Railway Station,Xingtaidong Railway Station,14,up
Xingtaidong Railway Station,Gaoyixi Railway Station,138,up
Gaoyixi Railway Station,Shijiazhuang Railway Station,51,up
Shijiazhuang Railway Station,Zhengdingjichang Railway Station,37,up
Zhengdingjichang Railway Station,Dingzhoudong Railway Station,43,up
Baodingdong Railway Station,Baigou Railway Station,54,up
Baigou Railway Station,Bazhouxi Railway Station,23,up
Sipingdong Railway Station,Kaiyuanxi Railway Station,79,up
Kaiyuanxi Railway Station,Tielingxi Railway Station,47,up
Panjinbei Railway Station,Shanhaiguan Railway Station,234,up
Qingdaobei Railway Station,Weifang Railway Station,168,up
Weifang Railway Station,Qingzhoushi Railway Station,57,up
